id,rid,outid,name,utility,floor,location,nearsetStaircase,nearestElevator,geometry,buildingName,centroid,shortName,buildingCenter
1,1,58,B271,,-1,"(-79.921135,43.262819)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921135,43.262819)",Refectory,"(-79.92120155,43.26291668887)"
2,2,58,0,,-1,"(-79.92131,43.262949)",POINT(-79.92136 43.262798),,,Refectory,"(-79.92131,43.262949)",Refectory,"(-79.92120155,43.26291668887)"
3,3,58,B204A,,-1,"(-79.921281,43.262953)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921281,43.262953)",Refectory,"(-79.92120155,43.26291668887)"
4,4,58,B204/A,,-1,"(-79.921382,43.262837)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921382,43.262837)",Refectory,"(-79.92120155,43.26291668887)"
5,5,58,B290,stair,-1,"(-79.92136,43.262798)",POINT(-79.92136 43.262798),,,Refectory,"(-79.92136,43.262798)",Refectory,"(-79.92120155,43.26291668887)"
6,6,58,B203,bathroom,-1,"(-79.921258,43.262816)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921258,43.262816)",Refectory,"(-79.92120155,43.26291668887)"
7,7,58,B202,bathroom,-1,"(-79.921258,43.262793)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921258,43.262793)",Refectory,"(-79.92120155,43.26291668887)"
8,8,58,B209,,-1,"(-79.921211,43.262791)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921211,43.262791)",Refectory,"(-79.92120155,43.26291668887)"
9,9,58,B208/A,,-1,"(-79.921173,43.262791)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921173,43.262791)",Refectory,"(-79.92120155,43.26291668887)"
10,10,58,0,,-1,"(-79.921174,43.262856)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921174,43.262856)",Refectory,"(-79.92120155,43.26291668887)"
11,11,58,B207,,-1,"(-79.921218,43.262851)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921218,43.262851)",Refectory,"(-79.92120155,43.26291668887)"
12,12,58,B281,,-1,"(-79.921232,43.262858)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921232,43.262858)",Refectory,"(-79.92120155,43.26291668887)"
13,13,58,B280,,-1,"(-79.921311,43.2628)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921311,43.2628)",Refectory,"(-79.92120155,43.26291668887)"
14,14,58,B206,,-1,"(-79.921187,43.26292)",POINT(-79.92136 43.262798),,,Refectory,"(-79.921187,43.26292)",Refectory,"(-79.92120155,43.26291668887)"
